step,county_fips,marginal_served_household_hours,tracked_max,remaining_peak_at_pick_time
1,26163,38869.75329589844,922425,1536.9752197265625
2,26125,23896.12777709961,618124,852.9578857421875
3,26099,14654.278625488281,413676,514.1575927734375
4,26161,5916.1999435424805,174449,240.2606201171875
5,26163,2310.2239990234375,922425,1536.9752197265625
